Dataset,Hardware,ds_key,hw_key,Stage,stage_idx,stage_id,Seed,HV,IGD,Spacing,Pareto Points,algo_id,MaxSpread
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,Random Search,0,stage1_random,7,1.0232274456743164,0.05346820088429878,0.10051522136919885,11.0,,
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,Random Search,0,stage1_random,8,1.0166890911975326,0.050580474473155994,0.10741149086482023,11.0,,
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,Random Search,0,stage1_random,9,1.0095387764288806,0.046502363731600216,0.1040587530863709,14.0,,
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,Random Search,0,stage1_random,10,1.0303097533215104,0.04649307853007644,0.10889330254340569,10.0,,
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,Random Search,0,stage1_random,11,1.0137111283767197,0.05690445791818812,0.10578631085044485,15.0,,
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,Random Search,0,stage1_random,12,0.9871654109309986,0.10300849320577823,0.03975813353969071,16.0,,
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,Random Search,0,stage1_random,13,1.0061449598349699,0.06057089980086852,0.09818549521484289,17.0,,
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,Random Search,0,stage1_random,14,1.0107178635210736,0.04349820292377611,0.10058715453668399,14.0,,
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,Random Search,0,stage1_random,15,1.0045728725457277,0.08607603715956559,0.1138827285743607,15.0,,
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,Random Search,0,stage1_random,16,1.0017685865227568,0.0419758280987884,0.11076790141924309,15.0,,
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,Random Search,0,stage1_random,17,1.0064472896368115,0.0679878806826603,0.10358595558699896,12.0,,
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,Random Search,0,stage1_random,18,1.0251700688392615,0.0537630706056661,0.1000700255813294,14.0,,
CIFAR-100,Eyeriss,cifar100,eyeriss_latency,Random Search,0,stage1_random,19,1.010974961926565,0.087235197551616,0.11362430411440061,16.0,,
